"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","tcoefM","repl"
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.435038997483612,0.749424305696224,0.0142370493398284,0.250575694303776,0.00476026530771564,0.850221457312083,0.149778542687917,0.00227418864044248,-0.00266157950759655,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.51771762670233,0.713372224386193,0.0175586007189313,0.286627775613807,0.00705491816882639,0.847852006993165,0.152147993006835,0.00254015594589579,-0.00255474341562885,4
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.492005150945904,0.733733085416352,0.0156906715854478,0.266266914583648,0.00569404159883533,0.859203037640033,0.140796962359967,0.00160828693306578,-0.00224223779354208,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.257290253273297,0.784997015183794,0.0189822923267056,0.215002984816206,0.00519906372884729,0.856985346339004,0.143014653660996,0.00364061842685432,-0.00308994268636095,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.306629656324059,0.754840078892646,0.0212702266206101,0.245159921107354,0.00690822761808591,0.857119100795623,0.142880899204377,0.00236016156571765,-0.00341636520742711,2
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.385711898950138,0.804728219359638,0.0254948545943895,0.195271780640362,0.0061864683430328,0.849459774202743,0.150540225797257,0.00330903800909265,-0.00262624142736986,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.327752299439098,0.873287725309074,0.0199011481931974,0.126712274690926,0.0028876161698354,0.844933122794848,0.155066877205152,0.00279918673698588,-0.00188619739057594,4
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.33470538346075,0.597263501993636,0.0166961976273057,0.402736498006364,0.0112582941030187,0.873787229754393,0.126212770245607,0.00641658211232957,-0.00639795226150995,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.107281730741236,0.738183857954042,0.014157984904378,0.261816142045958,0.00502149829865276,0.884302167400486,0.115697832599514,0.0031453227402626,-0.003701318606807,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.473318977253348,0.861462006277354,0.0343170388615077,0.138537993722646,0.00551877352655374,0.817882005243209,0.182117994756791,0.00582094184776841,-0.00556194764866384,2
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.302804894505726,0.689097446905042,0.0216570516321462,0.310902553094958,0.00977108923445397,0.854847260141086,0.145152739858914,0.0094508573740647,-0.00918580290144432,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.206101987288796,0.72537928738113,0.0189507732920266,0.27462071261887,0.00717455675488643,0.88140807590604,0.11859192409396,0.00502449124843893,-0.00524830132653333,4
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.148834827342676,0.649842096796588,0.0140595310385863,0.350157903203412,0.00757577253422483,0.884325866732615,0.115674133267385,0.00581145054700466,-0.00666128002154966,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,-0.0222455362255906,0.634180523095556,0.0110466240294573,0.365819476904444,0.00637211342330556,0.919389016833657,0.0806109831663426,0.00640380596127656,-0.00819981075862634,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,-0.125821039490579,0.642667457634651,0.00927891280304215,0.357332542365349,0.00515921175548668,0.9170556083102,0.0829443916897996,0.0040365195830671,-0.00428644965846239,2
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,0.219819625192699,0.857790539123092,0.0227662462219656,0.142209460876908,0.00377431954976607,0.855376117161151,0.144623882838849,0.00494697690515639,-0.00553533225022347,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,-0.0311833703074145,0.541785890781603,0.00732187625777921,0.458214109218397,0.00619245916948038,0.918920942151701,0.0810790578482989,0.0031811226816615,-0.00315271133764029,4
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.9,0.1,0.037190650317284,0.671935656562933,0.0201605949646568,0.328064343437067,0.00984316323412928,0.890065649097302,0.109934350902698,0.00665181200858473,-0.00597820770357848,5
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,1,0.1,0.0700502839907143,0.629777370129825,0.0194046493225598,0.370222629870175,0.0114072696871049,0.90220148772981,0.0977985122701899,0.007404551507986,-0.00852510090188459,1
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,1,0.1,-0.137348446963937,0.826821709665626,0.0156634912174139,0.173178290334374,0.00328072739018454,0.892977937470586,0.107022062529414,0.00583442021761245,-0.0039629372093215,2
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,1,0.1,0.00642723309183639,0.869976932306379,0.0231991087821819,0.130023067693621,0.00346724054351713,0.874916751859978,0.125083248140022,0.00815430667725529,-0.00532261880230216,3
2000,2000,20,40,3,3,3,2,0.75,0.25,1000,25,1e-04,0.2,0.6,1,0.1,-0.0676521071671132,0.686911907817286,0.0122987813499925,0.313088092182714,0.00560567074936445,0.920821078815552,0.079178921184448,0.00851804293398176,-0.00818039545980367,4
